league,matchId,playerId,teamId,eventSec,matchPeriod,subEventName,positions,tags,x,y,is_goal
France,2500687,242446,3770,2413.4471569999996,2H,Shot,"[{'y': 46, 'x': 77}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 201}, {'id': 1212}, {'id': 1802}]",77,46,0
France,2500687,260002,3770,2631.492096,2H,Shot,"[{'y': 64, 'x': 76}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",76,64,0
France,2500687,250134,3776,2734.9074309999996,2H,Shot,"[{'y': 39, 'x': 90}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",90,39,0
France,2500687,70959,3776,2737.267164,2H,Shot,"[{'y': 57, 'x': 85}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",85,57,0
France,2500688,142755,3766,38.210256000000015,1H,Shot,"[{'y': 64, 'x': 92}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1203}, {'id': 1801}]",92,64,0
France,2500688,5167,3766,202.44572599999998,1H,Shot,"[{'y': 42, 'x': 74}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}]",74,42,0
France,2500688,5167,3766,567.951667,1H,Shot,"[{'y': 46, 'x': 91}, {'y': 0, 'x': 0}]","[{'id': 403}, {'id': 201}, {'id': 1216}, {'id': 1802}]",91,46,0
France,2500688,142755,3766,1333.844117,1H,Shot,"[{'y': 72, 'x': 88}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 2101}, {'id': 1802}]",88,72,0
France,2500688,5167,3766,1360.538512,1H,Shot,"[{'y': 36, 'x': 80}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",80,36,1
France,2500688,5167,3766,2347.96293,1H,Shot,"[{'y': 49, 'x': 93}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 201}, {'id': 1213}, {'id': 1802}]",93,49,0
France,2500688,28990,3779,2741.688664,1H,Shot,"[{'y': 35, 'x': 97}, {'y': 100, 'x': 100}]","[{'id': 403}, {'id': 201}, {'id': 1212}, {'id': 1802}]",97,35,0
France,2500688,5167,3766,546.2623509999999,2H,Shot,"[{'y': 51, 'x': 93}, {'y': 0, 'x': 0}]","[{'id': 403}, {'id': 201}, {'id': 1214}, {'id': 1802}]",93,51,0
France,2500688,3803,3766,593.8445449999999,2H,Shot,"[{'y': 30, 'x': 77}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 201}, {'id': 1216}, {'id': 1802}]",77,30,0
France,2500688,5167,3766,921.203818,2H,Shot,"[{'y': 50, 'x': 85}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}]",85,50,1
