model_name,feature,feature_group,coefficient,odds_ratio,abs_coefficient
baseline,distance_to_goal,baseline,-0.8909073602096698,0.41028330905827304,0.8909073602096698
baseline,shot_angle_rad,baseline,0.42264251391525526,1.5259886787288588,0.42264251391525526
baseline,is_penalty,baseline,0.2604012922688472,1.2974506391226386,0.2604012922688472
baseline,is_direct_free_kick,baseline,0.19579416503943475,1.2162765273358869,0.19579416503943475
baseline,is_left_foot,baseline,0.11134627607484766,1.1177819009763945,0.11134627607484766
baseline,is_right_foot,baseline,0.10313181862558995,1.1086375385211096,0.10313181862558995
baseline,is_header,baseline,-0.2892023576583734,0.7488606523811654,0.2892023576583734
skill_aware,distance_to_goal,baseline,-0.8636805847723348,0.4216074611139045,0.8636805847723348
skill_aware,shot_angle_rad,baseline,0.4277193591366549,1.5337555860713399,0.4277193591366549
skill_aware,is_penalty,baseline,0.2565858446507643,1.292509716082554,0.2565858446507643
skill_aware,is_direct_free_kick,baseline,0.18870604772676444,1.2076858982858085,0.18870604772676444
skill_aware,is_left_foot,baseline,0.10741809290032009,1.113399661674589,0.10741809290032009
skill_aware,is_right_foot,baseline,0.1018574009671229,1.1072255711743415,0.1018574009671229
skill_aware,is_header,baseline,-0.2822869016022204,0.7540573132446026,0.2822869016022204
skill_aware,career_shots_before_shot,skill,0.012549719756357323,1.0126287979461328,0.012549719756357323
skill_aware,career_goals_before_shot,skill,0.10362053273624136,1.1091794777456694,0.10362053273624136
skill_aware,career_non_goal_shots_before_shot,skill,-0.006193153059376593,0.9938259849843721,0.006193153059376593
skill_aware,career_conversion_rate_before_shot,skill,0.032998901363106216,1.0335494037451751,0.032998901363106216
skill_aware,has_prior_shot_history,skill,0.00019803531177472718,1.0001980549220615,0.00019803531177472718
form_aware,distance_to_goal,baseline,-0.874604513678816,0.417026915509986,0.874604513678816
form_aware,shot_angle_rad,baseline,0.42848293374398033,1.5349271701297023,0.42848293374398033
form_aware,is_penalty,baseline,0.2550060312914122,1.2904694040464528,0.2550060312914122
form_aware,is_direct_free_kick,baseline,0.18535534952937419,1.2036460792103025,0.18535534952937419
form_aware,is_left_foot,baseline,0.10452801962289521,1.110186500437503,0.10452801962289521
form_aware,is_right_foot,baseline,0.10209593988995387,1.1074897190729456,0.10209593988995387
form_aware,is_header,baseline,-0.27883456903054055,0.7566650686975092,0.27883456903054055
form_aware,goals_last_5_matches,form,0.023667103282980682,1.023949391756265,0.023667103282980682
form_aware,shots_last_5_matches,form,0.008601980681524419,1.008639084028466,0.008601980681524419
form_aware,conversion_rate_last_5_matches,form,0.011038762153774034,1.0110999140954893,0.011038762153774034
form_aware,matches_in_form_window,form,0.006143456887139612,1.006162366622283,0.006143456887139612
form_aware,xg_sum_last_5_matches,form,-3.204721548410159e-05,0.9999679532980225,3.204721548410159e-05
form_aware,goals_minus_xg_last_5_matches,form,0.035906659546615566,1.0365590890799692,0.035906659546615566
form_aware,shots_per_match_last_5_matches,form,0.094533404161855,1.0991458785665924,0.094533404161855
form_aware,xg_per_shot_last_5_matches,form,-0.015005866572149678,0.9851061603897455,0.015005866572149678
combined,distance_to_goal,baseline,-0.8669578791377873,0.4202279910565874,0.8669578791377873
combined,shot_angle_rad,baseline,0.4303501290697359,1.5377958563324248,0.4303501290697359
combined,is_penalty,baseline,0.25502757031456896,1.2904971997961754,0.25502757031456896
combined,is_direct_free_kick,baseline,0.1835600897517281,1.2014871603077513,0.1835600897517281
combined,is_left_foot,baseline,0.10420204799847427,1.1098246701169578,0.10420204799847427
combined,is_right_foot,baseline,0.1020399253661657,1.1074276853011435,0.1020399253661657
combined,is_header,baseline,-0.2783298733649462,0.7570470506622002,0.2783298733649462
combined,career_shots_before_shot,skill,-0.0027691944101664572,0.9972346362718906,0.0027691944101664572
combined,career_goals_before_shot,skill,0.09058705112000978,1.0948168085229497,0.09058705112000978
combined,career_non_goal_shots_before_shot,skill,-0.021390886232585747,0.9788362761562113,0.021390886232585747
combined,career_conversion_rate_before_shot,skill,0.0618825207028425,1.0638373585213625,0.0618825207028425
combined,has_prior_shot_history,skill,-0.040723671645140944,0.9600943946006079,0.040723671645140944
combined,goals_last_5_matches,form,0.005061700441591152,1.0050745324887955,0.005061700441591152
combined,shots_last_5_matches,form,-0.05846487549201749,0.9432113696531215,0.05846487549201749
combined,conversion_rate_last_5_matches,form,-0.04513258611886897,0.9558707382397413,0.04513258611886897
combined,matches_in_form_window,form,0.043338464665914296,1.0442912907440662,0.043338464665914296
combined,xg_sum_last_5_matches,form,-0.023658822703477574,0.9766188531042396,0.023658822703477574
combined,goals_minus_xg_last_5_matches,form,0.03163193954963407,1.032137546375322,0.03163193954963407
combined,shots_per_match_last_5_matches,form,0.1466532908263613,1.1579524206977796,0.1466532908263613
combined,xg_per_shot_last_5_matches,form,-0.011365204405758673,0.9886991355535608,0.011365204405758673
