model_name,split,n_shots,goal_rate,roc_auc,average_precision,log_loss,brier_score,mean_pred_xg
skill_aware,train,34159,0.11130302409321116,0.7937021779938493,0.40999601438534483,0.2844089178954057,0.08138373992368429,0.11129941377332
skill_aware,test,8881,0.11124873325076005,0.787940269936309,0.3772247110449501,0.2899432494474291,0.08363794572797864,0.11423022617158496
form_aware,train,34159,0.11130302409321116,0.7934630241005263,0.41045400791053016,0.2843606936068502,0.08132958684207484,0.11130273326241331
form_aware,test,8881,0.11124873325076005,0.7876386010050416,0.3780003972481701,0.29005710268026963,0.0836680338010328,0.11417116197493746
combined,train,34159,0.11130302409321116,0.7941220240145251,0.41171022701285603,0.28409751807428785,0.08127055687500916,0.11132428857784325
combined,test,8881,0.11124873325076005,0.78865061852069,0.37750140879846056,0.2897530223842703,0.08363763281309099,0.11424997940880026
