league,matchId,playerId,teamId,eventSec,matchPeriod,eventName,subEventName,x,y,is_goal,is_penalty,is_direct_free_kick,match_datetime_utc,match_date,match_date_local_raw,gameweek,roundId,seasonId,competitionId,match_label,match_status,match_duration,winner,period_sort_key,seconds_from_match_start,shot_sequence_in_match,shot_sequence_team_in_match,is_left_foot,is_right_foot,is_header,shot_body_part,distance_to_goal,shot_angle_rad,shot_angle_deg,xg_pred,career_shots_before_shot,career_goals_before_shot,career_non_goal_shots_before_shot,career_conversion_rate_before_shot,has_prior_shot_history,goals_last_5_matches,shots_last_5_matches,conversion_rate_last_5_matches,matches_in_form_window,xg_sum_last_5_matches,goals_minus_xg_last_5_matches,shots_per_match_last_5_matches,xg_per_shot_last_5_matches
France,2500691,25745,3780,426.33783300000005,2H,Shot,Shot,83,45,1,0,0,2017-08-04 18:45:00+00:00,2017-08-04,"August 4, 2017 at 8:45:00 PM GMT+2",1,4405655,181189,412,"Monaco - Toulouse, 3 - 2",Played,Regular,19830,2,3126.337833,13,3,0,1,0,right_foot,18.17092457746715,0.3912015981167621,22.41420051086344,0.0833030934961699,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500691,3450,19830,758.898846,2H,Shot,Shot,95,51,1,0,0,2017-08-04 18:45:00+00:00,2017-08-04,"August 4, 2017 at 8:45:00 PM GMT+2",1,4405655,181189,412,"Monaco - Toulouse, 3 - 2",Played,Regular,19830,2,3458.898846,14,11,0,0,1,head,5.29385492812185,1.2070605351507873,69.15947428094266,0.33325107748522337,3,0,3,0.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500691,21097,19830,1444.7340000000004,2H,Shot,Shot,93,53,1,0,0,2017-08-04 18:45:00+00:00,2017-08-04,"August 4, 2017 at 8:45:00 PM GMT+2",1,4405655,181189,412,"Monaco - Toulouse, 3 - 2",Played,Regular,19830,2,4144.734,15,12,0,0,1,head,7.627850286941919,0.8765683344198797,50.22366601707124,0.18308454984721076,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500691,25745,3780,1868.4468290000004,2H,Free Kick,Free kick shot,73,63,0,0,1,2017-08-04 18:45:00+00:00,2017-08-04,"August 4, 2017 at 8:45:00 PM GMT+2",1,4405655,181189,412,"Monaco - Toulouse, 3 - 2",Played,Regular,19830,2,4568.446829,16,4,0,1,0,right_foot,29.696264074795668,0.2345524709154601,13.438866657820856,0.04960858859793453,1,1,0,1.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500691,28922,19830,2207.087522,2H,Free Kick,Free kick shot,74,45,0,0,1,2017-08-04 18:45:00+00:00,2017-08-04,"August 4, 2017 at 8:45:00 PM GMT+2",1,4405655,181189,412,"Monaco - Toulouse, 3 - 2",Played,Regular,19830,2,4907.087522,17,13,1,0,0,left_foot,27.510906927980397,0.26258733453486954,15.045146022437873,0.06605970771996068,2,0,2,0.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500691,25517,3780,2449.756128,2H,Shot,Shot,86,34,0,0,0,2017-08-04 18:45:00+00:00,2017-08-04,"August 4, 2017 at 8:45:00 PM GMT+2",1,4405655,181189,412,"Monaco - Toulouse, 3 - 2",Played,Regular,19830,2,5149.756128,18,5,0,1,0,right_foot,18.288367887813283,0.3233784788733682,18.528222024804453,0.07408991420028449,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500691,28922,19830,2580.0742680000003,2H,Shot,Shot,87,32,0,0,0,2017-08-04 18:45:00+00:00,2017-08-04,"August 4, 2017 at 8:45:00 PM GMT+2",1,4405655,181189,412,"Monaco - Toulouse, 3 - 2",Played,Regular,19830,2,5280.074268,19,14,1,0,0,left_foot,18.334123922347644,0.30023024501934886,17.201925921787296,0.0731531919870758,3,0,3,0.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500691,86239,19830,2827.263481,2H,Shot,Shot,89,54,0,0,0,2017-08-04 18:45:00+00:00,2017-08-04,"August 4, 2017 at 8:45:00 PM GMT+2",1,4405655,181189,412,"Monaco - Toulouse, 3 - 2",Played,Regular,19830,2,5527.263481,20,15,0,1,0,right_foot,11.86595550303472,0.5858756646232933,33.56820290233678,0.19530209176348196,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,21383,3767,198.77083499999998,1H,Shot,Shot,81,73,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,198.77083499999998,1,1,0,1,0,right_foot,25.349794870964935,0.22805118025714077,13.06637014171133,0.031750828121397595,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,21174,3767,270.22957799999995,1H,Shot,Shot,81,73,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,270.22957799999995,2,2,0,1,0,right_foot,25.349794870964935,0.22805118025714077,13.06637014171133,0.031750828121397595,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
