,teamId,team_name,played,actual_pts,goals_for,goals_against,xg_for_baseline,xg_against_baseline,baseline_xg_pts,xg_for_combined,xg_against_combined,combined_xg_pts,goal_diff,xg_diff_baseline,xg_diff_combined
1,1625,Manchester City,38,100,106,27,81.2788320978273,25.356353433237057,108,86.53581175115268,24.708672503835622,108,79,55.922478664590244,61.82713924731706
2,1611,Manchester United,38,81,68,28,59.82698806492348,45.138167213176345,66,62.24998881768795,44.92641224506062,75,40,14.688820851747138,17.32357657262733
3,1624,Tottenham Hotspur,38,77,74,36,65.85323250988066,38.37841700251733,87,72.3663813807248,38.76436759105198,90,38,27.474815507363324,33.602013789672824
4,1612,Liverpool,38,75,84,38,68.10984172670757,32.78978107659322,99,75.48588797327183,32.76368179392258,99,46,35.32006065011435,42.72220617934925
5,1610,Chelsea,38,70,62,38,58.00633639227987,38.32806533032528,66,59.383892604789374,38.58726923931993,63,24,19.67827106195459,20.796623365469443
6,1609,Arsenal,38,63,74,51,67.65469234932729,46.97902856827086,66,68.10301148213422,47.443468665488,72,23,20.67566378105643,20.659542816646223
7,1646,Burnley,38,54,36,39,40.693531552216974,56.95076602098337,42,39.35433794304668,56.69873303263581,48,-3,-16.2572344687664,-17.344395089589128
8,1623,Everton,38,49,44,58,44.454471897771754,56.37631327559872,42,42.94774133011121,55.655082793512335,39,-14,-11.921841377826965,-12.707341463401129
9,1631,Leicester City,38,47,56,60,47.403020831012896,51.20302296314736,66,47.57952612074445,51.451383474297636,69,-4,-3.800002132134466,-3.871857353553189
10,1613,Newcastle United,38,44,39,47,46.747129715511,58.80619014689677,48,44.44889901448241,59.07358083237438,48,-8,-12.059060431385767,-14.624681817891975
11,1628,Crystal Palace,38,44,45,55,56.90953608622358,48.452724229875464,69,53.66840218794319,48.92963590271011,69,-10,8.456811856348118,4.738766285233076
12,1659,AFC Bournemouth,38,44,45,61,45.71324153857182,63.970458587715214,39,43.89703425391664,63.61967003901157,36,-16,-18.257217049143392,-19.72263578509493
13,1633,West Ham United,38,42,48,68,43.85097196417102,60.53989115128566,36,42.566458185243285,60.705534213155495,36,-20,-16.688919187114635,-18.13907602791221
14,1644,Watford,38,41,44,64,48.832437716923714,54.27862667237473,60,47.753418507053844,53.78304954777253,57,-20,-5.446188955451014,-6.029631040718684
15,1651,Brighton & Hove Albion,38,40,34,54,42.45674617049333,56.32706884398273,42,41.132873283230374,56.39644379762152,39,-20,-13.870322673489397,-15.263570514391148
16,1673,Huddersfield Town,38,37,28,58,33.98719922757238,54.779954188380046,33,33.09780447082636,54.8160978679054,33,-30,-20.792754960807663,-21.718293397079037
17,1619,Southampton,38,36,37,56,45.69304200158761,51.33326014121087,39,43.424395045290254,51.979020201120164,33,-19,-5.640218139623265,-8.55462515582991
18,10531,Swansea City,38,33,28,56,34.49297526623693,61.021065978407755,42,32.66587566007624,61.32328876147759,42,-28,-26.528090712170822,-28.657413101401353
19,1639,Stoke City,38,33,35,68,40.569992579670895,63.71875401356666,36,39.219706696336125,64.42253299411787,33,-33,-23.148761433895764,-25.202826297781748
20,1627,West Bromwich Albion,38,31,31,56,40.3643210816673,48.170631933031935,54,38.772620421493215,48.60614163316397,51,-25,-7.8063108513646355,-9.833521211670757
