league,matchId,playerId,teamId,eventSec,matchPeriod,subEventName,x,y,is_goal,match_datetime_utc,match_date,match_date_local_raw,gameweek,roundId,seasonId,competitionId,match_label,match_status,match_duration,winner,period_sort_key,seconds_from_match_start,shot_sequence_in_match,shot_sequence_team_in_match,is_left_foot,is_right_foot,is_header,shot_body_part,distance_to_goal,shot_angle_rad,shot_angle_deg
France,2500693,21174,3767,270.22957799999995,1H,Shot,81,73,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,270.22957799999995,2,2,False,True,False,right_foot,25.349794870964935,0.22805118025714077,13.06637014171133
France,2500693,21174,3767,304.13934600000005,1H,Shot,90,66,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,304.13934600000005,3,3,False,True,False,right_foot,15.120330684214549,0.3429933297063504,19.652070193313
France,2500693,28948,3789,594.150889,1H,Shot,69,44,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,594.150889,4,1,False,True,False,right_foot,32.80470850350601,0.22054991305128954,12.636579189816162
France,2500693,3334,3767,1043.416986,1H,Shot,88,65,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1043.416986,5,4,False,True,False,right_foot,16.21110730332755,0.35421193704310655,20.29484904572363
France,2500693,209117,3767,1045.100539,1H,Shot,96,42,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1045.100539,6,5,False,False,True,head,6.872670514436149,0.7375266797959982,42.25716603060718
France,2500693,40539,3767,1167.86697,1H,Shot,69,57,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1167.86697,7,6,False,True,False,right_foot,32.89620190842705,0.21934895760618547,12.567769511428445
France,2500693,40539,3767,1302.385321,1H,Shot,89,69,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1302.385321,8,7,False,True,False,right_foot,17.33,0.2865448767458286,16.41781207863235
France,2500693,209117,3767,1420.486689,1H,Shot,88,29,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1420.486689,9,8,True,False,False,left_foot,19.04411720190778,0.25816823353917434,14.791950186142477
France,2500693,25534,3789,1731.915551,1H,Shot,95,33,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1731.915551,10,2,False,False,True,head,12.69630261139045,0.2543799095751475,14.57489521157547
France,2500693,209117,3767,2037.963279,1H,Shot,82,73,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,2037.963279,11,9,True,False,False,left_foot,24.53201173976566,0.23092205230254725,13.230858993435211
France,2500693,134540,3767,2209.320861,1H,Shot,93,42,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,2209.320861,12,10,False,False,True,head,9.144183943906636,0.6537802478838335,37.45884893276043
France,2500693,21174,3767,2478.338197,1H,Shot,91,36,1,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,2478.338197,13,11,True,False,False,left_foot,13.413906962551964,0.39368269525427557,22.556356905404954
France,2500693,3314,3767,516.5823639999999,2H,Shot,84,37,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,2,3216.582364,14,12,True,False,False,left_foot,18.983824693670133,0.3405962764170401,19.51472915656757
France,2500693,3314,3767,800.2878489999998,2H,Shot,91,69,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,2,3500.287849,15,13,True,False,False,left_foot,16.007151526739545,0.2775115975349337,15.900243304684802
France,2500693,274345,3789,1169.6436439999998,2H,Shot,76,35,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,2,3869.6436439999998,16,3,False,True,False,right_foot,27.186025822102064,0.24892124236597074,14.262136618723186
France,2500693,25938,3789,1345.5529159999996,2H,Shot,95,66,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,2,4045.5529159999996,17,4,False,True,False,right_foot,12.08043459483143,0.28220886471081424,16.16937688910809
France,2500693,21174,3767,1797.3457120000003,2H,Shot,91,53,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,2,4497.345712,18,14,False,True,False,right_foot,9.667683279876314,0.7125287723480491,40.82489143718105
France,2500693,25440,3767,2098.841354,2H,Shot,93,45,1,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,2,4798.841354,19,15,False,True,False,right_foot,8.098302291221286,0.8006353722383037,45.873027758140445
France,2500693,25492,3789,2589.5318070000003,2H,Shot,67,44,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,2,5289.531807,20,5,True,False,False,left_foot,34.88938090594329,0.20764813442210045,11.897361726151548
France,2500693,30320,3789,2742.407101,2H,Shot,74,64,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,2,5442.407101,21,6,False,True,False,right_foot,28.912288045051017,0.23833657444073716,13.655679819059808
France,2500688,142755,3766,38.210256000000015,1H,Shot,92,64,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,1,38.210256000000015,1,1,True,False,False,left_foot,12.696078134605196,0.39425387225777275,22.589082937060272
France,2500688,5167,3766,202.44572599999998,1H,Shot,74,42,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,1,202.44572599999998,2,2,False,True,False,right_foot,27.83673112992975,0.25664124972980984,14.704460458481083
France,2500688,5167,3766,567.951667,1H,Shot,91,46,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,1,567.951667,3,3,False,False,True,head,9.833661576442422,0.6929852960310523,39.70513272720326
France,2500688,142755,3766,1333.844117,1H,Shot,88,72,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,1,1333.844117,4,4,True,False,False,left_foot,19.559181986985035,0.24482696409890203,14.027551753868012
France,2500688,5167,3766,1360.538512,1H,Shot,80,36,1,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,1,1360.538512,5,5,False,True,False,right_foot,23.057111701165002,0.2883551166089207,16.521531182693863
France,2500688,5167,3766,2347.96293,1H,Shot,93,49,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,1,2347.96293,6,6,False,True,False,right_foot,7.38138875822158,0.9185763543613753,52.63054826542034
France,2500688,28990,3779,2741.688664,1H,Shot,97,35,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,1,2741.688664,7,1,False,False,True,head,10.675322009194852,0.22538465488135154,12.91358949171407
France,2500688,5167,3766,546.2623509999999,2H,Shot,93,51,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,2,3246.262351,8,7,False,False,True,head,7.38138875822158,0.918576354361375,52.630548265420316
France,2500688,3803,3766,593.8445449999999,2H,Shot,77,30,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,2,3293.844545,9,8,False,True,False,right_foot,27.716105426267962,0.23006236966693083,13.181602806693707
France,2500688,5167,3766,921.203818,2H,Shot,85,50,1,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,2,3621.203818,10,9,False,True,False,right_foot,15.75,0.45665707350178963,26.164522996447968
France,2500688,412701,3779,2354.1889600000004,2H,Shot,73,71,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,2,5054.18896,11,2,False,True,False,right_foot,31.743359935583374,0.20576895093250544,11.789692443267088
France,2500688,412701,3779,2481.178624,2H,Shot,87,48,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,2,5181.178624,12,3,False,True,False,right_foot,13.717583606451981,0.5193432669279405,29.756177313507138
France,2500688,25673,3779,2493.059859,2H,Shot,94,68,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,2,5193.059859,13,4,False,True,False,right_foot,13.766175939599204,0.2561058358916813,14.673783505263415
France,2500688,25641,3779,2542.117948,2H,Shot,83,50,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,2,5242.117948,14,5,False,True,False,right_foot,17.849999999999994,0.40447783762626227,23.174873002562634
France,2500688,28115,3766,2702.5968489999996,2H,Shot,86,57,1,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,2,5402.596849,15,10,True,False,False,left_foot,15.45145947799107,0.44548042533515736,25.52414822739731
France,2500688,29616,3779,2781.0077410000004,2H,Shot,72,28,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Olympique Lyonnais - Strasbourg, 4 - 0",Played,Regular,3766,2,5481.007741,16,6,True,False,False,left_foot,32.98729452380113,0.19762350605062978,11.322992829279174
France,2500690,25474,3785,153.24607600000002,1H,Shot,87,42,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,1,153.24607600000002,1,1,True,False,False,left_foot,14.694083843506547,0.45833138588176386,26.260454029406993
France,2500690,25716,3777,822.5978540000001,1H,Shot,97,45,1,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,1,822.5978540000001,2,1,False,False,True,head,4.634921790062916,1.2334802940420777,70.67321496116683
France,2500690,25411,3785,1056.193614,1H,Shot,87,41,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,1,1056.193614,3,2,False,False,True,head,14.959174442461729,0.44339746231007887,25.40480323717851
France,2500690,26508,3777,1235.504679,1H,Shot,79,64,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,1,1235.504679,4,2,False,True,False,right_foot,24.01734581505625,0.2789951096201307,15.98524228602324
France,2500690,14990,3777,1267.893487,1H,Shot,69,49,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,1,1267.893487,5,3,False,True,False,right_foot,32.55710214377194,0.2238484855830211,12.825573474302164
France,2500690,26604,3785,1927.0745729999999,1H,Shot,86,66,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,1,1927.0745729999999,6,3,True,False,False,left_foot,18.288367887813283,0.3233784788733682,18.528222024804453
France,2500690,26508,3777,2066.779445,1H,Shot,89,44,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,1,2066.779445,7,4,False,False,True,head,12.24944488538154,0.5540487541382464,31.744655256602922
France,2500690,25716,3777,148.9542510000001,2H,Shot,69,25,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,2,2848.954251,8,5,False,True,False,right_foot,36.72196209354832,0.17660291772437806,10.118601835302984
France,2500690,14990,3777,200.18567399999984,2H,Shot,86,65,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,2,2900.185674,9,6,False,True,False,right_foot,17.89217706149814,0.3373919011794508,19.331131979477473
France,2500690,135901,3785,1185.9343799999997,2H,Shot,84,28,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,2,3885.9343799999997,10,4,False,True,False,right_foot,22.49536841218654,0.24462424291969,14.015936685881249
France,2500690,340920,3785,1498.9308659999997,2H,Shot,92,64,1,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,2,4198.930866,11,5,True,False,False,left_foot,12.696078134605196,0.39425387225777275,22.589082937060272
