model_name,n_shots,goal_rate,roc_auc,average_precision,log_loss,brier_score,mean_pred_xg,auc_gain,ap_gain,log_loss_reduction,brier_reduction
combined,8881,0.11124873325076005,0.78865061852069,0.37750140879846056,0.2897530223842703,0.08363763281309099,0.11424997940880026,0.0029500079761137776,0.002762256854714651,0.001140382630067438,0.00020122928275333185
skill_aware,8881,0.11124873325076005,0.787940269936309,0.3772247110449501,0.2899432494474291,0.08363794572797864,0.11423022617158496,0.0022396593917327623,0.0024855591012041822,0.0009501555669086392,0.0002009163678656778
form_aware,8881,0.11124873325076005,0.7876386010050416,0.3780003972481701,0.29005710268026963,0.0836680338010328,0.11417116197493746,0.0019379904604653886,0.0032612453044241763,0.0008363023340681175,0.0001708282948115203
baseline,8881,0.11124873325076005,0.7857006105445762,0.3747391519437459,0.29089340501433775,0.08383886209584432,0.11405230725938267,0.0,0.0,0.0,0.0
